all_l_oks_rtree_10_dy_DAT1,all_l_oks_rtree_10_mt_DAT1,all_l_oks_rtree_5_dy_DAT1,all_l_oks_rtree_5_mt_DAT1,cpy_int_med_imp_dy_DAT1,cpy_int_med_imp_LC,cpy_int_med_imp_MFR_S205,cpy_int_med_imp_MFR_S206,cpy_int_med_imp_MFR_S411,cpy_int_med_imp_mt_DAT1,cpy_int_med_imp_qt_DAT1,cpy_int_med_imp_wk_DAT1,DATETIME,dy_DAT1,EM_PREDICTION,hs_bc_0_LC,hs_bc_p1_LC,hs_bc_p2_LC,hs_rtree_disct10_LC,hs_rtree_disct5_LC,LC,MFR_S205,MFR_S206,MFR_S411,mt_DAT1,nhoks_nloks_log_qt_DAT1,nhoks_nloks_pow_n0_5_qt_DAT1,nhoks_nloks_pow_p0_5_qt_DAT1,nhoks_nloks_pow_p1_qt_DAT1,nhoks_nloks_pow_p2_qt_DAT1,nhoks_nloks_rtree_10_qt_DAT1,nhoks_nloks_rtree_5_qt_DAT1,P_Gamma2,qt_DAT1,wk_DAT1,yr_DAT1,_WARN_,sample_id,sample_point_id,datetime_char,NNI,Gamma2,_dmIndex_,_PartInd_,Error,,
5,1,1,1,14,88,409.563,1.834,1.036,1,1,3,1894654800,14,1049.290323,2.890371758,17,161.5,4,3,88,409.563,1.834,1.036,1,0,1,1,1,1,1,1,1049.290323,1,3,2020,,2001021468,H12-S0411,14JAN20:21:00:00,72,1100,1000018,0,4.609970664,,
5,1,1,1,15,87,440.118,1.865,1.029,1,1,4,1894698000,15,1088.479249,2.833213344,16,144,3,2,87,440.118,1.865,1.029,1,0,1,1,1,1,1,1,1088.479249,1,4,2020,,2001022486,H12-S0411,15JAN20:09:00:00,73,1100,1000019,1,1.047341045,,
5,1,1,1,15,86,431.7138,1.847,0.974,1,1,4,1894741200,15,1105.662536,2.772588722,15,127.5,2,1,86,431.7138,1.847,0.974,1,0,1,1,1,1,1,1,1105.662536,1,4,2020,,2001023246,H12-S0411,15JAN20:21:00:00,74,1050,1000020,0,5.301193933,,
5,1,1,1,16,106,138.143,0.697,0.4,1,1,5,1894777200,16,466.7155351,3.583518939,35,647.5,5,4,106,138.143,0.697,0.4,1,0,1,1,1,1,1,1,466.7155351,1,5,2020,,2001023408,H12-S0411,16JAN20:07:00:00,73,470,1000021,0,0.698822313,,
5,1,1,1,16,106,110.439,0.636,0.405,1,1,5,1894784400,16,458.5407149,3.583518939,35,647.5,5,4,106,110.439,0.636,0.405,1,0,1,1,1,1,1,1,458.5407149,1,5,2020,,2001024150,H12-S0411,16JAN20:09:00:00,72,450,1000022,0,1.897936638,,
5,1,1,1,16,106,112.358,0.674,0.381,1,1,5,1894827600,16,434.7925589,3.583518939,35,647.5,5,4,106,112.358,0.674,0.381,1,0,1,1,1,1,1,1,434.7925589,1,5,2020,,2001024785,H12-S0411,16JAN20:21:00:00,72,440,1000023,1,1.18350935,,
5,1,1,1,17,106,116.336,0.68,0.39,1,1,6,1894870800,17,446.3220369,3.583518939,35,647.5,5,4,106,116.336,0.68,0.39,1,0,1,1,1,1,1,1,446.3220369,1,6,2020,,2001025670,H12-S0411,17JAN20:09:00:00,72,430,1000024,0,3.79582254,,
5,1,1,1,17,106,124.732,0.652,0.375,1,1,6,1894914000,17,444.4828328,3.583518939,35,647.5,5,4,106,124.732,0.652,0.375,1,0,1,1,1,1,1,1,444.4828328,1,6,2020,,2001026446,H12-S0411,17JAN20:21:00:00,74,450,1000025,2,1.226037151,,
5,1,1,1,18,108,127.543,0.625,0.363,1,1,7,1894957200,18,446.6907208,3.63758616,37,721.5,6,4,108,127.543,0.625,0.363,1,0,1,1,1,1,1,1,446.6907208,1,7,2020,,2001027156,H12-S0411,18JAN20:09:00:00,75,450,1000026,2,0.735395376,,
5,1,1,1,18,107,127.283,0.653,0.37,1,1,7,1895000400,18,444.557603,3.610917913,36,684,5,4,107,127.283,0.653,0.37,1,0,1,1,1,1,1,1,444.557603,1,7,2020,,2001027678,H12-S0411,18JAN20:21:00:00,74,460,1000027,1,3.35704282,,
